id,ed,inc,pop,cases
476,11.7,28298.0,6778.0,222
478,26.5,59673.0,90896.0,803
480,14.2,39048.0,13966.0,132
482,16.4,43510.0,66703.0,629
483,22.1,45850.0,25925.0,383
485,18.6,37562.0,29524.0,657
486,12.0,37265.0,6195.0,102
488,13.2,41440.0,25286.0,235
489,11.2,36310.0,8020.0,49
490,8.4,34297.0,15860.0,200
492,23.1,41642.0,44451.0,673
493,16.5,45680.0,40644.0,1093
496,13.6,35069.0,6901.0,53
497,18.5,45234.0,69922.0,1841
498,12.5,33261.0,7985.0,211
499,9.4,42054.0,8120.0,51
500,22.4,45943.0,24511.0,134
501,13.7,40965.0,26320.0,407
502,15.9,43767.0,69761.0,402
503,19.9,65416.0,94593.0,613
507,12.9,44607.0,29927.0,242
508,11.7,38187.0,2607.0,35
511,15.7,47074.0,104628.0,2070
516,29.5,56383.0,201513.0,109
519,29.5,73981.0,72293.0,43
523,27.2,51300.0,87808.0,205
524,20.3,53780.0,6125.0,6
525,15.1,48451.0,9298.0,34
528,27.2,56837.0,7831.0,13
529,23.1,51373.0,45739.0,93
530,30.1,60444.0,119062.0,265
534,18.3,53381.0,229849.0,2730
535,19.9,61219.0,7155.0,23
536,18.6,51804.0,24030.0,342
537,15.5,48471.0,845.0,0
542,20.9,51155.0,13099.0,16
546,22.6,61927.0,29871.0,42
547,14.9,54020.0,24412.0,337
548,24.9,56188.0,165697.0,966
550,21.1,44248.0,8027.0,4
552,10.1,50464.0,5366.0,43
554,13.4,53447.0,21039.0,288
555,21.9,54476.0,40408.0,116
556,15.5,52602.0,4531.0,8
558,14.2,51835.0,23951.0,221
560,11.6,36085.0,12882.0,20
562,20.6,51594.0,86878.0,894
563,30.1,60285.0,11392.0,32
565,24.8,55174.0,65435.0,232
566,11.3,35249.0,5761.0,29
567,21.8,54800.0,16426.0,24
569,13.7,55327.0,6578.0,10
571,13.6,56099.0,4739.0,2
572,18.1,51963.0,14305.0,22
573,14.6,52486.0,12147.0,145
575,16.6,52936.0,32304.0,54
576,17.6,54092.0,15441.0,48
577,15.2,45427.0,13184.0,8
578,22.5,66597.0,37562.0,264
580,38.0,63347.0,5150233.0,97790
581,16.6,52313.0,18667.0,21
583,31.4,63274.0,104897.0,714
584,21.3,55300.0,15638.0,19
587,16.7,51577.0,17161.0,21
589,22.5,60773.0,34008.0,38
590,11.7,47484.0,21336.0,32
591,20.2,55357.0,12961.0,32
593,17.6,51258.0,34340.0,18
594,9.9,43330.0,4828.0,9
595,12.4,47314.0,12969.0,13
597,18.3,53028.0,8116.0,8
598,21.3,53553.0,17708.0,22
599,11.2,41713.0,3821.0,5
600,15.4,53632.0,6646.0,8
601,22.6,58042.0,48913.0,133
602,15.4,55247.0,27114.0,180
603,36.0,41445.0,56750.0,381
604,17.5,54552.0,9610.0,48
605,17.4,47425.0,37684.0,125
607,23.8,56832.0,21235.0,58
609,33.1,79834.0,532403.0,8352
610,21.0,53884.0,109862.0,1564
611,35.4,93345.0,128990.0,1152
612,18.5,44553.0,49699.0,181
613,45.0,87336.0,696535.0,10707
615,13.5,43767.0,15678.0,18
616,17.7,54915.0,34096.0,112
617,15.7,59323.0,35648.0,58
618,20.4,52959.0,28618.0,33
619,32.4,42887.0,29682.0,112
620,33.7,86268.0,307774.0,2418
621,44.8,67087.0,171517.0,368
623,19.4,53409.0,44926.0,83
626,16.8,57422.0,11438.0,14
627,15.4,48764.0,13359.0,32
630,17.8,58384.0,15437.0,30
631,32.5,88481.0,34637.0,186
634,19.5,59901.0,14501.0,28
635,20.0,61794.0,50643.0,343
636,30.4,56478.0,179179.0,794
637,11.7,49965.0,20916.0,63
638,27.9,67460.0,16344.0,24
639,15.1,47815.0,15561.0,9
640,13.4,43053.0,4177.0,2
642,14.6,66319.0,5739.0,1
643,12.8,53607.0,31782.0,344
646,27.3,58222.0,259686.0,2732
647,17.8,40761.0,23491.0,33
648,34.2,62242.0,194672.0,632
650,15.0,55198.0,4951.0,1
651,16.9,56509.0,21634.0,27
652,17.5,52651.0,5342.0,6
653,19.3,47357.0,44498.0,287
654,26.4,61508.0,131803.0,212
655,22.8,49716.0,16653.0,222
656,15.1,44638.0,75758.0,104
657,17.2,53414.0,11520.0,23
658,23.0,53532.0,16844.0,150
659,20.6,66937.0,13887.0,29
661,15.2,49507.0,13537.0,24
664,22.6,46187.0,66597.0,186
665,22.6,53795.0,282572.0,3303
666,31.6,72247.0,38459.0,60
667,15.3,56693.0,35777.0,55
669,32.3,63067.0,83779.0,625
670,16.9,51649.0,8748.0,124
671,13.6,45161.0,11758.0,47
672,48.3,85876.0,67843.0,843
673,27.4,60944.0,15092.0,50
674,17.2,57092.0,20257.0,1251
675,13.9,48598.0,37689.0,1664
677,16.8,52699.0,26225.0,607
678,16.6,51730.0,32399.0,301
679,11.4,44152.0,10577.0,105
680,13.8,55434.0,33351.0,159
681,21.6,66502.0,49458.0,302
682,19.6,57441.0,26559.0,279
683,17.7,58987.0,43475.0,9308
684,24.3,43096.0,114135.0,7808
685,22.2,62126.0,42736.0,388
687,11.6,47737.0,23102.0,235
688,29.5,64992.0,78522.0,458
689,15.0,53493.0,16346.0,43
691,14.4,52798.0,19974.0,12584
692,17.4,56960.0,33659.0,146
696,30.3,73831.0,78168.0,489
697,17.4,60379.0,40515.0,227
700,21.2,55365.0,82544.0,2989
701,19.0,53809.0,36520.0,100
702,15.5,55518.0,44231.0,215
704,10.6,48392.0,20436.0,77
705,17.9,51031.0,32308.0,3174
706,11.1,51560.0,27735.0,185
707,31.8,69880.0,158167.0,1437
708,16.4,48606.0,36594.0,2139
709,22.7,57367.0,79456.0,614
710,10.4,67498.0,39614.0,499
711,22.1,55280.0,485493.0,6022
712,17.9,52095.0,109888.0,672
713,15.5,53187.0,45370.0,267
714,18.0,49522.0,129569.0,715
715,30.4,48409.0,964582.0,12617
716,20.5,55766.0,46258.0,636
717,13.4,55444.0,10255.0,3023
719,45.6,48883.0,148431.0,419
720,18.1,53700.0,38338.0,16191
722,11.2,53060.0,13984.0,102
724,13.7,58022.0,5875.0,72280
727,12.2,49639.0,16937.0,33
728,14.9,52332.0,19169.0,166
729,13.7,54265.0,12389.0,131
730,28.2,69298.0,170389.0,905
734,14.3,46441.0,24665.0,108
737,29.2,54674.0,271826.0,2400
738,11.9,44913.0,23873.0,1249
740,14.9,56862.0,20277.0,85
742,20.6,58295.0,34594.0,145
744,9.9,47713.0,10751.0,35
745,37.7,52269.0,195732.0,829
746,23.0,60896.0,15148.0,780
750,24.5,48335.0,107038.0,279
751,18.4,51487.0,30996.0,126
753,29.6,75534.0,62998.0,315
755,18.2,45130.0,65884.0,24939
756,18.1,60010.0,28296.0,106
757,16.8,58380.0,24102.0,290
758,20.9,67758.0,33964.0,113
760,17.7,51577.0,3602.0,12
761,18.5,53359.0,13687.0,139
763,14.6,51210.0,5496.0,19
764,22.6,62799.0,25645.0,87
766,24.8,63099.0,26234.0,178
767,30.3,74646.0,25062.0,131
769,19.6,52683.0,19620.0,1748
770,17.5,57971.0,14439.0,79
771,19.5,54865.0,9668.0,67
773,19.6,50356.0,12836.0,29
774,23.0,67597.0,18627.0,104
778,16.9,52541.0,9395.0,152
779,22.6,56338.0,16016.0,155
780,17.2,53968.0,17549.0,54
782,12.8,54828.0,16820.0,685
783,49.4,87267.0,93453.0,1497
786,16.6,61342.0,17011.0,62
788,31.3,55603.0,17258.0,323
790,20.2,51497.0,9208.0,110
791,19.8,50893.0,19650.0,63
793,17.7,59367.0,10070.0,128
794,19.3,54658.0,6960.0,13
797,19.8,60306.0,10689.0,94
799,23.1,60859.0,10630.0,73
800,19.8,55303.0,16846.0,98
801,18.8,60044.0,14049.0,68
802,20.1,55856.0,19954.0,98
804,20.8,60166.0,9558.0,68
806,19.1,64188.0,16184.0,64
807,18.8,54663.0,19439.0,84
809,31.6,46715.0,18295.0,64
810,53.0,64387.0,151140.0,1594
811,18.4,55405.0,20681.0,85
812,18.2,52122.0,10246.0,23
813,18.3,55486.0,14813.0,61
816,14.2,49585.0,11035.0,368
820,22.3,56492.0,22095.0,125
821,26.4,63491.0,33253.0,96
822,19.0,59552.0,39369.0,1153
823,23.7,64271.0,15109.0,58
827,17.5,49966.0,9917.0,18
828,22.0,58465.0,42664.0,722
832,25.0,55322.0,8886.0,57
836,21.2,56337.0,93206.0,895
837,25.1,56170.0,18504.0,114
838,20.6,48754.0,4894.0,17
839,20.6,56698.0,9721.0,72
840,31.9,59865.0,172943.0,1249
842,28.1,70162.0,34855.0,526
843,51.1,57464.0,97117.0,920
844,16.1,56954.0,16854.0,503
845,14.9,47781.0,6121.0,81
847,14.1,47905.0,7044.0,21
848,18.0,48226.0,34969.0,726
850,21.5,65849.0,21965.0,257
851,13.0,46725.0,6441.0,11
852,19.6,52093.0,35904.0,465
853,22.4,54433.0,10354.0,52
854,29.7,61807.0,19991.0,53
855,23.0,60059.0,103107.0,3418
856,15.5,58587.0,7381.0,32
858,20.4,44423.0,12369.0,9
859,17.5,50646.0,7858.0,22
861,18.3,47634.0,4427.0,3
862,18.4,49991.0,25779.0,74
864,21.8,47529.0,9564.0,24
866,21.6,50981.0,2648.0,6
867,16.8,41129.0,3250.0,5
868,19.1,44475.0,19939.0,59
870,31.5,51235.0,1994.0,36
871,27.2,52681.0,8002.0,12
872,22.5,44467.0,8786.0,27
874,18.6,46818.0,1700.0,3
876,29.5,43852.0,38818.0,332
877,23.5,44774.0,2827.0,4
879,19.3,50949.0,7600.0,28
880,50.4,57120.0,122259.0,504
881,17.9,46962.0,2798.0,9
882,15.0,37360.0,2530.0,1
884,20.4,50261.0,6102.0,14
885,17.1,56206.0,36467.0,1624
886,17.6,56052.0,33619.0,2053
887,19.5,58033.0,25544.0,104
888,21.9,50856.0,31670.0,139
889,22.7,49626.0,2636.0,2
890,26.2,41906.0,2482.0,13
893,29.0,51606.0,1232.0,2
894,19.6,43083.0,5982.0,11
895,18.2,51559.0,2539.0,38
896,17.1,45570.0,5436.0,4
897,31.0,57934.0,34429.0,108
898,16.3,60808.0,3968.0,35
900,21.3,56330.0,13171.0,126
901,21.9,69246.0,19043.0,41
902,16.9,44271.0,2879.0,5
903,55.3,87087.0,602401.0,3654
905,24.2,56005.0,7152.0,5
907,17.8,44571.0,19618.0,86
909,31.7,70807.0,81758.0,1274
910,22.6,44439.0,2962.0,5
911,16.0,47153.0,9703.0,21
912,17.6,50267.0,2794.0,2
913,27.3,47982.0,33195.0,550
917,20.1,67220.0,4033.0,34
919,25.3,51514.0,5979.0,19
920,18.2,42479.0,31829.0,74
922,17.1,53785.0,2587.0,7
923,24.5,59567.0,10231.0,36
924,20.6,46176.0,16007.0,49
925,18.9,51757.0,2750.0,5
926,15.9,47252.0,5361.0,22
927,18.6,53864.0,15949.0,33
928,23.0,46101.0,3421.0,3
931,22.3,47405.0,5234.0,35
932,34.5,69975.0,24383.0,98
933,28.1,52567.0,9164.0,24
935,20.5,49341.0,61998.0,155
936,24.5,48566.0,4636.0,21
937,23.2,51686.0,9537.0,12
938,46.0,47057.0,74232.0,382
939,24.0,47365.0,4920.0,10
940,23.1,44121.0,3036.0,4
941,25.9,45879.0,6856.0,4
944,30.9,56381.0,516042.0,2790
946,30.8,53612.0,176875.0,1146
949,19.1,41899.0,3583.0,3
950,23.9,47835.0,4156.0,2
951,19.3,60136.0,2006.0,12
952,12.2,58817.0,5485.0,39
953,22.2,56946.0,22836.0,58
954,25.5,55345.0,7777.0,19
955,22.8,48520.0,2803.0,3
959,21.1,59800.0,2119.0,1
960,14.4,45697.0,8525.0,5
961,13.5,43894.0,3138.0,10
962,17.4,47084.0,165429.0,3603
964,14.6,44624.0,21315.0,198
965,20.3,60908.0,22747.0,34
966,13.3,47658.0,7888.0,25
967,16.0,42439.0,44249.0,154
968,12.4,44183.0,12500.0,23
970,31.6,77696.0,133581.0,801
971,18.9,48614.0,19788.0,52
972,20.2,48020.0,46718.0,111
975,14.3,31182.0,12630.0,16
976,11.1,47284.0,20477.0,35
978,12.6,43048.0,12879.0,276
980,29.0,41873.0,39001.0,125
981,33.5,60904.0,93584.0,365
982,14.8,41249.0,4760.0,13
983,8.8,47623.0,10631.0,100
984,13.7,32906.0,26797.0,58
987,20.1,50162.0,36263.0,120
988,9.5,28146.0,19901.0,105
989,10.1,31118.0,10218.0,12
990,13.1,43624.0,8806.0,18
991,13.1,33541.0,6614.0,16
992,22.9,51441.0,101511.0,553
994,8.3,35446.0,7517.0,6
995,9.9,35701.0,14106.0,7
996,42.9,55358.0,323152.0,2296
1000,13.3,32355.0,5969.0,31
1001,11.6,49060.0,8869.0,71
1002,16.8,51203.0,17666.0,43
1003,13.6,53965.0,25069.0,76
1004,16.3,46785.0,37266.0,357
1005,10.4,40780.0,26427.0,156
1006,12.0,36782.0,10941.0,21
1007,17.2,49457.0,35098.0,48
1009,23.0,52278.0,110958.0,333
1010,10.8,29521.0,26010.0,64
1012,11.8,37038.0,19035.0,57
1014,12.2,53405.0,16126.0,52
1015,17.6,44290.0,4380.0,12
1019,29.5,59443.0,54115.0,166
1020,14.9,39381.0,22188.0,13
1021,30.4,64644.0,166998.0,961
1022,12.9,32228.0,14806.0,24
1024,10.1,45458.0,14398.0,26
1026,10.0,36667.0,15317.0,14
1028,9.7,31921.0,9877.0,13
1029,11.7,32321.0,21553.0,22
1033,15.0,46742.0,27102.0,269
1036,6.9,30029.0,17231.0,20
1037,12.0,48080.0,9207.0,35
1038,30.5,51897.0,92987.0,250
1041,18.8,52388.0,31100.0,87
1044,18.2,57613.0,28572.0,47
1045,11.3,34002.0,6489.0,18
1047,13.1,35906.0,10071.0,18
1049,16.3,46629.0,28157.0,80
1053,10.2,41428.0,7269.0,13
1056,9.9,48998.0,10901.0,16
1058,11.3,54583.0,14590.0,25
1059,12.3,33108.0,25758.0,114
1061,14.7,37776.0,12359.0,20
1062,15.3,41541.0,64979.0,155
1063,16.0,45146.0,2108.0,2
1065,26.6,41196.0,24460.0,38
1067,28.6,73500.0,57004.0,136
1068,24.2,66056.0,49024.0,591
1069,14.2,51769.0,18572.0,95
1071,19.2,45429.0,25769.0,72
1072,12.9,51027.0,12294.0,27
1074,12.0,51674.0,8471.0,20
1075,11.0,47067.0,14381.0,34
1076,30.6,53478.0,132896.0,1879
1078,12.8,33701.0,20333.0,40
1080,19.2,36863.0,36264.0,65
1084,18.9,39450.0,67055.0,26
1086,25.4,49561.0,30199.0,42
1088,27.1,52154.0,122302.0,148
1089,31.0,56678.0,39772.0,25
1093,18.3,40066.0,16785.0,4
1094,35.5,65969.0,35856.0,34
1096,29.6,49482.0,39715.0,60
1097,20.8,39522.0,31379.0,5
1098,31.4,65984.0,207641.0,588
1099,18.3,43535.0,70416.0,227
1100,40.9,97051.0,579234.0,5821
1101,38.6,75836.0,827370.0,9398
1102,31.1,106270.0,92525.0,480
1103,16.9,56627.0,33406.0,351
1105,22.8,72739.0,102855.0,543
1106,28.9,92616.0,163257.0,1585
1108,40.6,95196.0,259547.0,2668
1111,61.4,116719.0,325690.0,2989
1113,59.0,107758.0,1050688.0,16191
1116,31.5,89964.0,113510.0,753
1117,15.7,42098.0,25616.0,106
1118,38.6,64245.0,37181.0,230
1120,26.8,54313.0,103609.0,1173
1122,42.8,69001.0,212990.0,1603
1123,33.4,58375.0,124944.0,618
1124,28.0,66005.0,565217.0,8637
1125,44.2,70224.0,17332.0,57
1126,39.4,76373.0,789034.0,16632
1127,37.2,58992.0,70180.0,389
1128,27.2,52682.0,466372.0,7100
1130,55.2,100374.0,1611699.0,24738
1132,53.0,100184.0,706775.0,9612
1137,17.4,47441.0,9108.0,4
1138,22.7,62247.0,118081.0,408
1141,11.8,42540.0,14883.0,38
1143,20.1,64121.0,61550.0,146
1144,18.9,50576.0,103126.0,462
1145,29.3,51905.0,17766.0,20
1146,27.7,51509.0,153401.0,1141
1147,14.2,50477.0,43517.0,1084
1148,21.2,48413.0,134159.0,642
1150,31.0,54491.0,26143.0,43
1151,20.5,48589.0,25276.0,30
1157,26.5,52348.0,25239.0,27
1158,26.8,66716.0,110268.0,369
1159,33.7,58891.0,33415.0,46
1160,20.9,48370.0,405813.0,3028
1161,13.8,44635.0,25449.0,29
1162,19.8,39934.0,13975.0,21
1164,14.0,48988.0,40711.0,120
1165,17.0,50388.0,45605.0,217
1166,33.2,42282.0,35684.0,33
1168,38.5,52837.0,292406.0,1257
1170,16.3,41256.0,25127.0,122
